lithograph,0.015854,lid,0.013694,print,0.012437,cowboy,0.010049,propaganda,0.009073,togetherness,0.008305,vintage,0.007725,danger,0.007239,business,0.007063,art,0.006699,
fun,0.055867,sketch,0.046956,adult,0.034257,child,0.033260,funny,0.032754,portrait,0.029960,graphic,0.023711,cute,0.021477,celebration,0.018805,Christmas,0.018695,
people,0.013410,man,0.012715,woman,0.009951,no person,0.009395,adult,0.008481,portrait,0.005787,fun,0.004814,lithograph,0.004428,lid,0.004293,music,0.004123,
war,0.034911,military,0.029438,bill,0.027904,fun,0.022196,print,0.021825,vertical,0.021538,text,0.020715,army,0.019892,lithograph,0.012457,old,0.011649,
fun,0.021864,young,0.012734,child,0.010810,isolated,0.010653,funny,0.009752,dark,0.009120,text,0.008489,bill,0.008327,print,0.007914,vertical,0.007811,
portrait,0.010700,indoors,0.008913,business,0.007756,sketch,0.007165,adult,0.006690,fun,0.006385,funny,0.006151,art,0.005561,celebration,0.005048,illustration,0.004557,
togetherness,0.027357,love,0.016969,illustration,0.012991,romance,0.012764,art,0.012362,no person,0.012056,happiness,0.012035,indoors,0.011418,woman,0.010792,friendship,0.009959,
dark,0.032312,horror,0.020893,one,0.012790,Halloween,0.012676,vicious,0.011357,fear,0.010906,child,0.010734,danger,0.010618,illustration,0.009091,fun,0.008761,
singer,0.011127,stage,0.010512,performance,0.008316,concert,0.007775,instrument,0.006917,musician,0.006811,military,0.006188,man,0.005551,war,0.005098,guitar,0.004950,
